text,label_slot,label_intent
bana dallas'tan houston'a aktarmasız uçuşları göster,O B-fromloc.city_name B-toloc.city_name B-flight_stop O O,flight
dallas'tan baltimore'a ekonomi biletlerini göster,B-fromloc.city_name B-toloc.city_name B-economy O O,airfare
yirmi ağustos'ta washington'dan pittsburgh'a kıta havayolları ile bir uçuş istiyorum,B-depart_date.day_number B-depart_date.month_name B-fromloc.city_name B-toloc.city_name B-airline_name I-airline_name O O O O,flight
çarşamba günü denver'dan washington dc'ye aktarmasız uçuşunuz var mı,B-depart_date.day_name I-depart_date.day_name B-fromloc.city_name B-toloc.city_name B-toloc.state_code B-flight_stop O O O,flight
ewr nedir,B-airport_code O,abbreviation
boston'dan san francisco'ya uçmak istiyorum,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
dallas'tan atlanta'ya yirmi yedi ağustos akşamı hangi uçak kalkıyor,B-fromloc.city_name B-toloc.city_name B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name B-depart_time.period_of_day O O O,flight
baltimore ve newark arasında çarşamba sabahı uçuşları,B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O,flight
bana dallas'tan pittsburgh'a uçuşları göster,O B-fromloc.city_name B-toloc.city_name O O,flight
chicago'ya kıtasal saat 11'den sonra hangi uçuşlar var,B-toloc.city_name B-airline_name B-arrive_time.time I-arrive_time.time B-arrive_time.time_relative O O O,flight
deltanın boston ve san francisco arasında sahip olduğu en düşük ücret nedir,B-airline_name B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-cost_relative I-cost_relative I-cost_relative O,airfare
boston'dan san francisco'ya gitmek istiyorum,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
pittsburgh'dan philadelphia'ya gidiş dönüş uçak biletleri 1000 dolardan az,B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O O B-fare_amount I-fare_amount B-cost_relative,airfare
herhangi bir havayolunun pittsburgh ve baltimore arasında jet uçuşu var mı,O O O B-fromloc.city_name O B-toloc.city_name O O O O O,airline
mco nedir,B-airport_code O,abbreviation
gelecek cumartesi newark new jersey'den ontario international'a uçuşları göster,B-depart_date.date_relative B-depart_date.day_name B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name B-toloc.airport_name I-toloc.airport_name O O,flight
dallas fort worth'tan philadelphia'ya uçmak istiyorum,B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name B-toloc.city_name O O,flight
bana new york ve las vegas arasındaki uçuşları göster,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O,flight
atlanta havaalanından atlanta şehrine gitmek ne kadar sürer,B-fromloc.airport_name I-fromloc.airport_name B-toloc.city_name O O O O O,distance
bana dallas'tan baltimore'a tüm birinci sınıf fiyatları göster,O B-fromloc.city_name B-toloc.city_name O B-class_type I-class_type O O,airfare
san francisco ve boston arasında dallas fort worth mola ile bir uçuş var mı,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O O O O O O,flight
bana san francisco için kara ulaşım bilgilerini göster,O B-city_name I-city_name O O O O O,ground_service
baltimore'dan san francisco'ya ucuz bir uçuşa ihtiyacınız var,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-flight_mod O O O O,flight
boston oakland arası kahvaltı servisi yapan en erken uçuşu bulun,B-fromloc.city_name B-toloc.city_name O B-meal_description O O B-flight_mod I-flight_mod O O,flight
philadelphia'dan dallas'a san francisco'ya uçmak istiyorum,B-fromloc.city_name B-toloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
bana atlanta'dan baltimore'a tüm direkt uçuşları göster,O B-fromloc.city_name B-toloc.city_name O B-connect O O,flight
houston san jose arasındaki son uçuş,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O B-flight_mod O,flight
pazar günü varan new york city'den las vegas'a uçuşlar nelerdir,B-arrive_date.day_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
united airlines'ı washington dc'den denver colorado'ya uçurmak istiyorum,B-airline_name I-airline_name B-fromloc.city_name B-fromloc.state_code B-toloc.city_name B-toloc.state_name O O,flight
tamam dallas ve baltimore arasında united'da ekonomi uçuşlarını görmem gerekiyor,O B-fromloc.city_name O B-toloc.city_name O B-airline_name B-economy O O O,flight
lütfen bana çarşamba sabahı kahvaltı servisi yapan pittsburgh'dan atlanta'ya uçuşları göster,O O B-depart_date.day_name B-depart_time.period_of_day B-meal_description O O B-fromloc.city_name B-toloc.city_name O O,flight
baltimore'dan kalkan ve atlanta'ya varan uçuşlar için bilgiye ihtiyacım var,B-fromloc.city_name O O B-toloc.city_name O O O O O O,flight
bana yarın saat 9'dan önce pittsburgh'a varan san francisco'dan pittsburgh'a tüm uçuşları göster,O B-arrive_date.today_relative B-arrive_time.time I-arrive_time.time B-arrive_time.time_relative B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name O O O,flight
bana dallas san francisco arası ücretleri göster,O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O,airfare
lütfen bana baltimore'dan philadelphia'ya uygun uçuşları verin,O O B-fromloc.city_name B-toloc.city_name O O O,flight
ilk 1992 yılının ocak ayında boston'dan san francisco'ya uçuşlar nelerdir,B-depart_date.day_number B-depart_date.year O B-depart_date.month_name O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
denver'dan baltimore'a 1000 ile 1400 arasında uçuşlar,B-fromloc.city_name B-toloc.city_name B-depart_time.start_time O B-depart_time.end_time O O,flight
atlanta'da hangi kara taşımacılığı var,B-city_name O O O O,ground_service
baltimore washington'dan oakland'a 445 ile 515 arasında gelen aktarmasız uçuşları listeleyin,B-fromloc.city_name B-fromloc.city_name B-toloc.city_name B-arrive_time.start_time O B-arrive_time.end_time O O B-flight_stop O O,flight
baltimore'dan san francisco'ya cuma günü 1800 ve 2000 arasındaki uçuşları göster,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_date.day_name O B-depart_time.start_time O B-depart_time.end_time O O O,flight
denver'dan san francisco'ya uçmak istiyorum,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
denver boston arası sadece hafta içi en ucuz ücretleri,B-fromloc.city_name B-toloc.city_name O B-flight_mod I-flight_mod I-flight_mod B-class_type I-class_type O,airfare
newark'tan la'ya saat 1500'ten sonra hareket eden uçuşlar için en ucuz ücretleri ne kadardır,B-fromloc.city_name B-toloc.city_name B-depart_time.time I-depart_time.time B-depart_time.time_relative O O B-toloc.city_name O B-class_type I-class_type O O O,airfare
philadelphia'dan toronto'ya,B-fromloc.city_name B-toloc.city_name,flight
philadelphia'dan pittsburgh'a aktarmasız bir uçuş istiyorum,B-fromloc.city_name B-toloc.city_name B-flight_stop O O O,flight
minneapolis'ten indianapolis'e öğleden sonra erken kalkan uçuş seçeneklerim nelerdir,B-fromloc.city_name B-toloc.city_name B-depart_time.period_of_day I-depart_time.period_of_day B-depart_time.period_of_day O O O O,flight
boston'dan atlanta'ya saat 8'den önce en ucuz uçak bileti hangisidir,B-fromloc.city_name B-toloc.city_name O B-depart_time.time B-depart_time.time_relative B-cost_relative I-cost_relative O O O,flight
boston ve oakland arasındaki olası gidiş dönüş günlük uçuşları listeleyin,B-fromloc.city_name O B-toloc.city_name O O B-round_trip I-round_trip B-flight_days O O,flight
lütfen bana baltimore'dan philadelphia'ya gidiş dönüş bileti verin,O O B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O O,airfare
long beach'den st louis'e dallas'ta duran uçak bileti ara,B-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-stoploc.city_name O O O O,flight
lütfen st paul'dan kansas şehrine cuma gecesi yemek servisi olan uçuşları listeleyin,O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day B-meal I-meal O O O,flight
dallas'tan baltimore'a dört temmuz'da varan bir uçuş için mevcut olan en düşük maliyetli uçak bileti ücreti nedir,B-fromloc.city_name B-toloc.city_name B-arrive_date.day_number B-arrive_date.month_name O O O O O O B-cost_relative I-cost_relative I-cost_relative O O O O,airfare
bana baltimore dallas uçuşlarını gösterebilir misin,O B-fromloc.city_name B-toloc.city_name O O O,flight
philadelphia'dan dallas'a bir uçuş için cumartesi uçuş bilgilerine ihtiyacım var,B-fromloc.city_name B-toloc.city_name O O O B-depart_date.day_name O O O O,flight
bana denver'dan pittsburgh'a ve ardından atlanta'ya giden uçuşları göster,O B-fromloc.city_name B-toloc.city_name O O B-toloc.city_name O O O,flight
boston'dan philadelphia'ya giden en erken uçuşunuz nedir,B-fromloc.city_name B-toloc.city_name O B-flight_mod I-flight_mod O O,flight
denver'den atlanta'ya en ucuz uçak bileti,B-fromloc.city_name B-toloc.city_name B-cost_relative I-cost_relative O O,flight
dallas'a vardığımda ne tür bir kara ulaşımı var,B-city_name O O O O O O O,ground_service
bana perşembe sabahları atlanta'dan washington'a giden uçuşları göster,O B-depart_date.day_name B-depart_time.period_of_day B-fromloc.city_name B-toloc.city_name O O O,flight
delta'da philadelphia'dan san francisco'ya uçuş bul,B-airline_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
boston'dan dallas fort worth'a philadelphia'da mola veren herhangi bir uçuşun var mı,B-fromloc.city_name B-toloc.city_name I-toloc.city_name I-toloc.city_name B-stoploc.city_name O O O O O O O,flight
ff nedir,B-airline_code O,abbreviation
boston san francisco arasındaki tüm aktarmasız uçuşları göster,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O B-flight_stop O O,flight
denver'da ne tür kara taşımacılığı var,B-city_name O O O O O,ground_service
indianapolis'ten houston'a seyahat etmek istiyorum,B-fromloc.city_name B-toloc.city_name O O O,flight
boston'dan pittsburgh'a gidiş dönüş bir uçuş için seyahat düzenlemelerini bulun,B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O O O O O O,flight
lütfen salı uçuşlarını atlanta'dan st louis'ye listeleyin,O B-depart_date.day_name O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O,flight
bana atlanta san francisco arasındaki tüm uçuşları göster,O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O O,flight
dallas'tan denver'a en ucuz uçak bileti ne kadar,B-fromloc.city_name B-toloc.city_name B-cost_relative I-cost_relative O O O O,airfare
salt lake city'den st petersburg'ye en son uçuş nedir,B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-flight_mod B-flight_mod O O,flight
chicago'dan kıtada san francisco'ya,B-fromloc.city_name B-airline_name B-toloc.city_name I-toloc.city_name,flight
oakland'dan salt lake city'ye tüm uçuşları gösterebilir misin,B-fromloc.city_name B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O,flight
kanada havayolları uluslararası hangi şehirlere hizmet veriyor,B-airline_name I-airline_name I-airline_name O O O O,city
san francisco'dan philadelphia'ya lütfen,B-fromloc.city_name I-fromloc.city_name B-toloc.city_name O,flight
nashville'den seattle'a uçuşlar,B-fromloc.city_name B-toloc.city_name O,flight
philadelphia'dan oakland california'ya cuma öğleden sonra hangi uçuşlar mevcut,B-fromloc.city_name B-toloc.city_name B-toloc.state_name B-depart_date.day_name B-depart_time.period_of_day I-depart_time.period_of_day O O O,flight
bana toronto'dan salt lake city'e toronto'dan 530 ile 7 arası ayrılan uçuşlardan bahset,O B-fromloc.city_name B-toloc.city_name I-toloc.city_name I-toloc.city_name B-fromloc.city_name B-depart_time.start_time O B-depart_time.end_time O O O O,flight
dallas fort worth ne tür kara taşımacılığı var,B-city_name I-city_name I-city_name O O O O O,ground_service
çarşamba günü boston'dan denver'a uçuş bilgisi istemek,B-depart_date.day_name I-depart_date.day_name B-fromloc.city_name B-toloc.city_name O O O,flight
toronto'dan kalkan ve san diego'ya inen tüm uçuşları denver'da aktarmalı olarak listeleyebilir misiniz,B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name O O O O,flight
denver'dan pittsburgh'a tüm uçuşlar 1800'den sonra ve 1900'dan önce kalkıyor,B-fromloc.city_name B-toloc.city_name O O B-depart_time.time B-depart_time.time_relative O B-depart_time.time B-depart_time.time_relative O,flight
phoenix'den detroit'e çarşamba günü uçuşları listele,B-fromloc.city_name B-toloc.city_name B-depart_date.day_name I-depart_date.day_name O O,flight
pittsburgh havaalanı ile pittsburgh şehir merkezi arasındaki mesafe nedir,B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name O O O O O,distance
bana aşk alanından diğer havaalanlarına uçuşları göster,O B-fromloc.airport_name I-fromloc.airport_name O O O O,flight
charlotte las vegas arası st louis akşam yemeği servisi yapıyor ve bu uçuş için havayolunu bulmak istiyorum,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O B-stoploc.city_name I-stoploc.city_name B-meal_description I-meal_description O O O O O O O O O,flight
washington dc'den tampa florida'ya tüm uçuşları listele,B-fromloc.city_name B-fromloc.state_code B-toloc.city_name B-toloc.state_name O O O,flight
bana boston'dan san francisco'ya en ucuz tek yön bileti söyler misin,O B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-cost_relative I-cost_relative B-round_trip I-round_trip O O O,airfare
hangi havayolları var,O O O,airline
denver ve san francisco arasında öğleden sonra denver'dan kalkan ve 1700'de varan bir uçuş istiyorum bu aktarmasız bir uçuş olmalı,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day B-fromloc.city_name O O B-arrive_time.time O O O O O B-flight_stop O O O,flight
diğer havayollarından daha fazla uçuşu olduğunu ilan eden bir havayolu var mı,O O B-mod I-mod O O O O O O O O,airline
anka kuşu denver'a,B-fromloc.city_name I-fromloc.city_name B-toloc.city_name,flight
denver'dan atlanta'ya en düşük ücret nedir,B-fromloc.city_name B-toloc.city_name B-cost_relative I-cost_relative O O,airfare
onbir kasım boston'dan washington dc'ye tüm uçuşlar,B-depart_date.day_number B-depart_date.month_name B-fromloc.city_name B-toloc.city_name B-toloc.state_code O O,flight
nashville'den cleveland'a uçuş,B-fromloc.city_name B-toloc.city_name O,flight
baltimore'dan philadelphia'ya uçuşları görmek istiyorum lütfen,B-fromloc.city_name B-toloc.city_name O O O O,flight
twa'da boston'dan denver'a bir uçuş istiyorum,B-airline_code B-fromloc.city_name B-toloc.city_name O O O,flight
boston'dan washington'a cumartesi günü kalkan en düşük tek yön uçuşları ile uçuşları listeleyebilir misiniz,B-fromloc.city_name B-toloc.city_name B-depart_date.day_name O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O O O O,flight
bana atlanta denver ve pittsburgh'dan baltimore'a gelen uçuşları ver,O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name B-toloc.city_name O O O,flight
washington dc'den san francisco'ya giden tüm uçuşlar birinci sınıf,B-fromloc.city_name B-fromloc.state_code B-toloc.city_name I-toloc.city_name O O O B-class_type I-class_type,flight
baltimore'dan seattle'a bir uçuşa ihtiyacım var,B-fromloc.city_name B-toloc.city_name O O O O,flight
philadelphia'da kara taşımacılığı hizmetleri nelerdir,B-city_name O O O O,ground_service
ücret kodu qo ne anlama geliyor,O O B-fare_basis_code O O O,abbreviation
kara taşımacılığı washington,O O B-city_name,ground_service
bana aşk alanına en son uçuşu göster,O B-toloc.airport_name I-toloc.airport_name B-flight_mod B-flight_mod O O,flight
boston ve atlanta arasında hangi havayolları uçuyor,B-fromloc.city_name O B-toloc.city_name O O O O,airline
amerikan'ın yirmi birinci temmuzda boston'dan washington dc'ye son uçuşu ne zaman,B-airline_name B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name B-fromloc.city_name B-toloc.city_name B-toloc.state_code B-flight_mod O O O,flight
çarşamba sabahı boston'dan denver'a uçuşları göster,B-depart_date.day_name B-depart_time.period_of_day B-fromloc.city_name B-toloc.city_name O O,flight
bana pazartesi günü yemek servisi yapan ve öğleden önce varan philadelphia'dan boston'a tüm uçuşları göster,O B-depart_date.day_name I-depart_date.day_name B-meal O O O B-arrive_time.time B-arrive_time.time_relative O B-fromloc.city_name B-toloc.city_name O O O,flight
delta havayollarını kullanarak boston ve oakland arasındaki ve oakland ve boston arasındaki tüm günlük uçuşları listeleyin,B-airline_name I-airline_name O B-toloc.city_name O B-fromloc.city_name O O B-fromloc.city_name O B-toloc.city_name O O B-flight_days O O,flight
perşembe günü ontario'dan los angeles'a bir uçağa ihtiyacım var,B-depart_date.day_name O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O O,flight
dallas'tan san francisco'ya dl 217 sefer sayılı uçuşla ücretler ne kadardır,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-airline_code B-flight_number O O O O O O,airfare
montreal şikago uçuşları nelerdir,B-fromloc.city_name B-toloc.city_name O O,flight
united airline'ın birinci sınıf hizmetle denver'dan baltimore'a günlük uçuşlarını listeleyin,B-airline_name I-airline_name B-class_type I-class_type O B-fromloc.city_name B-toloc.city_name B-flight_days O O,flight
